seed,method,scope,facility,geometry,n,tp,fp,fn,tn,recall,precision,f1,false_positive_rate,auroc,margin_auroc
0,B1,train,__all__,__all__,160,40,11,39,70,0.5063291139240507,0.7843137254901961,0.6153846153846154,0.13580246913580246,0.7990310986091577,0.7990310986091577
0,B1,calibration,__all__,__all__,480,97,140,71,172,0.5773809523809523,0.4092827004219409,0.47901234567901235,0.44871794871794873,0.5708180708180708,0.5708180708180708
0,B1,calibration,__all__,clear,160,24,37,32,67,0.42857142857142855,0.39344262295081966,0.41025641025641024,0.3557692307692308,0.5707417582417582,0.5707417582417582
0,B1,calibration,standard,__all__,240,45,52,30,113,0.6,0.4639175257731959,0.5232558139534884,0.3151515151515151,0.6782222222222222,0.6782222222222222
0,B1,calibration,standard,clear,80,9,11,16,44,0.36,0.45,0.4,0.2,0.6901818181818182,0.6901818181818182
0,B1,calibration,harsh,__all__,240,52,88,41,59,0.5591397849462365,0.37142857142857144,0.44635193133047213,0.5986394557823129,0.4755321483432082,0.4755321483432082
0,B1,calibration,harsh,clear,80,15,26,16,23,0.4838709677419355,0.36585365853658536,0.4166666666666667,0.5306122448979592,0.4628044766293614,0.4628044766293614
0,B1,test,__all__,__all__,1280,235,364,277,404,0.458984375,0.39232053422370616,0.42304230423042305,0.4739583333333333,0.5002543131510416,0.5002543131510416
0,B1,test,__all__,clear,160,21,30,43,66,0.328125,0.4117647058823529,0.3652173913043478,0.3125,0.4931640625,0.4931640625
0,B1,test,standard,__all__,640,98,190,198,154,0.3310810810810811,0.3402777777777778,0.3356164383561644,0.5523255813953488,0.3577545568824639,0.3577545568824639
0,B1,test,standard,clear,80,4,18,33,25,0.10810810810810811,0.18181818181818182,0.13559322033898305,0.4186046511627907,0.3463230672532998,0.3463230672532998
0,B1,test,harsh,__all__,640,137,174,79,250,0.6342592592592593,0.4405144694533762,0.5199240986717267,0.41037735849056606,0.6391400244584207,0.6391400244584207
0,B1,test,harsh,clear,80,17,12,10,41,0.6296296296296297,0.5862068965517241,0.6071428571428571,0.22641509433962265,0.649895178197065,0.649895178197065
0,B2,train,__all__,__all__,160,30,10,49,71,0.379746835443038,0.75,0.5042016806722689,0.12345679012345678,0.7541803406782309,0.7541803406782309
0,B2,calibration,__all__,__all__,480,37,65,131,247,0.22023809523809523,0.3627450980392157,0.2740740740740741,0.20833333333333334,0.5352945665445665,0.5352945665445665
0,B2,calibration,__all__,clear,160,4,11,52,93,0.07142857142857142,0.26666666666666666,0.11267605633802817,0.10576923076923077,0.5341689560439561,0.5341689560439561
0,B2,calibration,standard,__all__,240,21,16,54,149,0.28,0.5675675675675675,0.375,0.09696969696969697,0.6938989898989899,0.6938989898989899
0,B2,calibration,standard,clear,80,1,3,24,52,0.04,0.25,0.06896551724137931,0.05454545454545454,0.7010909090909091,0.7010909090909091
0,B2,calibration,harsh,__all__,240,16,49,77,98,0.17204301075268819,0.24615384615384617,0.20253164556962025,0.3333333333333333,0.42271962548460246,0.42271962548460246
0,B2,calibration,harsh,clear,80,3,8,28,41,0.0967741935483871,0.2727272727272727,0.14285714285714285,0.16326530612244897,0.40355497037524685,0.40355497037524685
0,B2,test,__all__,__all__,1280,162,224,350,544,0.31640625,0.41968911917098445,0.36080178173719374,0.2916666666666667,0.5234247843424479,0.5234247843424479
0,B2,test,__all__,clear,160,6,8,58,88,0.09375,0.42857142857142855,0.15384615384615385,0.08333333333333333,0.5052083333333334,0.5052083333333334
0,B2,test,standard,__all__,640,52,116,244,228,0.17567567567567569,0.30952380952380953,0.22413793103448276,0.3372093023255814,0.3907919547454431,0.3907919547454431
0,B2,test,standard,clear,80,0,6,37,37,0.0,0.0,0.0,0.13953488372093023,0.3626649905719673,0.3626649905719673
0,B2,test,harsh,__all__,640,110,108,106,316,0.5092592592592593,0.5045871559633027,0.5069124423963134,0.25471698113207547,0.6519697763801537,0.6519697763801537
0,B2,test,harsh,clear,80,6,2,21,51,0.2222222222222222,0.75,0.34285714285714286,0.03773584905660377,0.6512928022361985,0.6512928022361985
1,B1,train,__all__,__all__,160,79,66,0,15,1.0,0.5448275862068965,0.7053571428571429,0.8148148148148148,0.8046569776527582,0.8046569776527582
1,B1,calibration,__all__,__all__,480,168,310,0,2,1.0,0.3514644351464435,0.5201238390092879,0.9935897435897436,0.6016292735042735,0.6016292735042735
1,B1,calibration,__all__,clear,160,56,103,0,1,1.0,0.3522012578616352,0.5209302325581395,0.9903846153846154,0.6241414835164835,0.6241414835164835
1,B1,calibration,standard,__all__,240,75,165,0,0,1.0,0.3125,0.47619047619047616,1.0,0.6826666666666666,0.6826666666666666
1,B1,calibration,standard,clear,80,25,55,0,0,1.0,0.3125,0.47619047619047616,1.0,0.7323636363636363,0.7323636363636363
1,B1,calibration,harsh,__all__,240,93,145,0,2,1.0,0.3907563025210084,0.5619335347432024,0.9863945578231292,0.5527759490893132,0.5527759490893132
1,B1,calibration,harsh,clear,80,31,48,0,1,1.0,0.3924050632911392,0.5636363636363636,0.9795918367346939,0.5523370638578012,0.5523370638578012
