method,scope,facility,geometry,n_seeds,recall_n_defined,recall_mean,recall_std,precision_n_defined,precision_mean,precision_std,f1_n_defined,f1_mean,f1_std,auroc_n_defined,auroc_mean,auroc_std,margin_auroc_n_defined,margin_auroc_mean,margin_auroc_std,false_positive_rate_n_defined,false_positive_rate_mean,false_positive_rate_std
B1,test,standard,__all__,5,5,0.6304054054054052,0.2513953935549683,5,0.41272023132009006,0.04750507570428134,5,0.49078659340633174,0.11155774642401192,5,0.3623644720301697,0.026193811446202975,5,0.3623644720301697,0.026193811446202975,5,0.7395348837209302,0.16913758996000777
B1,test,standard,clear,5,5,0.40540540540540543,0.36411334014344543,5,0.31919518456227314,0.11473825125464614,5,0.33669718812909927,0.2053274853244685,5,0.34607165304839727,0.01861144490088924,5,0.34607165304839727,0.01861144490088924,5,0.5953488372093023,0.24917386485542087
B1,train,__all__,__all__,5,5,0.7164556962025317,0.18443693897269864,5,0.7054799651257961,0.09996022154973869,5,0.6907169730104693,0.057229508949072846,5,0.7893420847007345,0.04615627830259487,5,0.7893420847007345,0.04615627830259487,5,0.3382716049382716,0.2736455330578889
B2,calibration,__all__,__all__,5,5,0.6726190476190477,0.3044455202986767,5,0.36580042596405804,0.025736691973282235,5,0.44769801091927464,0.0988523172983376,5,0.5439636752136753,0.04068495210915264,5,0.5439636752136753,0.04068495210915264,5,0.642948717948718,0.3319172955097612
B2,calibration,__all__,clear,5,5,0.6178571428571429,0.37192617766520963,5,0.37361900095562794,0.08342933400828197,5,0.4236566393657779,0.17412437437699135,5,0.5524725274725275,0.06154055509494412,5,0.5524725274725275,0.06154055509494412,5,0.5576923076923077,0.4086821257183348
B2,calibration,harsh,__all__,5,5,0.5913978494623656,0.3213237160749234,5,0.34569051336049145,0.057557570825222316,5,0.4188905443102547,0.13557361295304882,5,0.4535001097213079,0.061509782158903265,5,0.4535001097213079,0.061509782158903265,5,0.6625850340136055,0.2846839211841706
B2,calibration,harsh,clear,5,5,0.5612903225806452,0.3696329422098379,5,0.3606941031941032,0.05082273539315786,5,0.4041817489069176,0.1615692284596733,5,0.4508229098090849,0.07220389050496058,5,0.4508229098090849,0.07220389050496058,5,0.5918367346938774,0.3710134482183233
B2,calibration,standard,__all__,5,5,0.7733333333333334,0.29754551472561863,5,0.40267693824326833,0.10376402471204771,5,0.4815102954428269,0.06588952238566126,5,0.6719999999999999,0.02676669333051453,5,0.6719999999999999,0.02676669333051453,5,0.6254545454545456,0.3772063955318354
B2,calibration,standard,clear,5,5,0.6880000000000001,0.3923263947276553,5,0.3846774193548387,0.13101271226577263,5,0.4437306522382837,0.21834745338300346,5,0.705890909090909,0.04410236027491252,5,0.705890909090909,0.04410236027491252,5,0.5272727272727272,0.442942826002903
B2,test,__all__,__all__,5,5,0.6625,0.2559801122569754,5,0.4121548638174741,0.014411106200192205,5,0.49039428089760373,0.08153886545026251,5,0.5126383463541666,0.02939187370001339,5,0.5126383463541666,0.02939187370001339,5,0.6377604166666666,0.26913057728986955
B2,test,__all__,clear,5,5,0.534375,0.3778214173885594,5,0.40371101053938896,0.02341402195729757,5,0.40542213648433145,0.1698775762140339,5,0.5107747395833333,0.036345607329259275,5,0.5107747395833333,0.036345607329259275,5,0.5333333333333334,0.37567936147583203
B2,test,harsh,__all__,5,5,0.736111111111111,0.1883696112042493,5,0.4099012087608888,0.06813324411499554,5,0.5092624958604666,0.01236648720417075,5,0.641446104122991,0.01248153136761891,5,0.641446104122991,0.01248153136761891,5,0.590566037735849,0.2940868456794843
B2,test,harsh,clear,5,5,0.6222222222222221,0.3069831968163274,5,0.48220361509835197,0.1686313019477313,5,0.4674532219477965,0.07350368772750282,5,0.644723969252271,0.014512762739995525,5,0.644723969252271,0.014512762739995525,5,0.4867924528301887,0.413246315059109
B2,test,standard,__all__,5,5,0.6087837837837838,0.31077775969980886,5,0.40964549158428987,0.06200284515364947,5,0.47294106166030314,0.15853918914503332,5,0.3846833752357008,0.039335721063659485,5,0.3846833752357008,0.039335721063659485,5,0.6959302325581395,0.2464818021667137
B2,test,standard,clear,5,5,0.47027027027027024,0.44104597104565263,5,0.30068030330826145,0.1988424481322957,5,0.35268599487950564,0.2760111440723741,5,0.37624135763670646,0.05042523834534527,5,0.37624135763670646,0.05042523834534527,5,0.5906976744186047,0.33805027451797254
B2,train,__all__,__all__,5,5,0.769620253164557,0.25211809035715566,5,0.6466363533177454,0.11259696365174414,5,0.6678235150259471,0.09528080502190321,5,0.7746210345366464,0.05018007815925987,5,0.7746210345366464,0.05018007815925987,5,0.4839506172839506,0.33690360493536176
