seed,method,scope,threshold,positive_score_mean,negative_score_mean,positive_score_std,negative_score_std,n,tp,fp,fn,tn,recall,precision,f1,false_positive_rate,auroc,margin_auroc
0,B1,train_actual,0.43855500221252447,0.36165640053028864,0.29967145388945937,0.07876540103160506,0.07229388947083246,288,17,2,79,190,0.17708333333333334,0.8947368421052632,0.2956521739130435,0.010416666666666666,0.7125651041666666,0.7125651041666666
0,B1,calibration_clear,0.43855500221252447,0.3267423575744033,0.32561233049879473,0.07711176758484228,0.07945991757509785,144,5,8,43,88,0.10416666666666667,0.38461538461538464,0.16393442622950818,0.08333333333333333,0.4995659722222222,0.4995659722222222
0,B1,calibration_seen,0.43855500221252447,0.326398446638551,0.32609014285521376,0.06992420835776238,0.07067873473105248,432,11,14,133,274,0.0763888888888889,0.44,0.1301775147928994,0.04861111111111111,0.48811246141975306,0.48811246141975306
0,B1,calibration_all,0.43855500221252447,0.326398446638551,0.32609014285521376,0.06992420835776238,0.07067873473105248,432,11,14,133,274,0.0763888888888889,0.44,0.1301775147928994,0.04861111111111111,0.48811246141975306,0.48811246141975306
0,B1,test_clear,0.43855500221252447,0.3309324290603399,0.3097597405624886,0.0813560367221127,0.07304703550817436,144,5,5,43,91,0.10416666666666667,0.5,0.1724137931034483,0.052083333333333336,0.5588107638888888,0.5588107638888888
0,B1,test_seen,0.43855500221252447,0.3285669967946079,0.31125027272436356,0.06934221314872242,0.06352843637820328,432,10,8,134,280,0.06944444444444445,0.5555555555555556,0.12345679012345678,0.027777777777777776,0.5577498070987654,0.5577498070987654
0,B1,test_unseen,0.43855500221252447,0.30734384929140407,0.29527425216510894,0.061392659114486416,0.058285528388743915,720,13,2,227,478,0.05416666666666667,0.8666666666666667,0.10196078431372549,0.004166666666666667,0.5428385416666667,0.5428385416666667
0,B1,test_all,0.43855500221252447,0.3153025296051055,0.3012652598748294,0.06530204990079644,0.060799016331947515,1152,23,10,361,758,0.059895833333333336,0.696969696969697,0.11031175059952038,0.013020833333333334,0.5476108127170138,0.5476108127170138
0,B2,train_actual,0.5914569497108461,0.4262584393533568,0.319314589491114,0.1177519942329479,0.09867352298817307,288,13,0,83,192,0.13541666666666666,1.0,0.23853211009174313,0.0,0.7543402777777778,0.7543402777777778
0,B2,calibration_clear,0.5914569497108461,0.41161082809170085,0.40818536033233005,0.1218459047069384,0.12480715421643082,144,6,8,42,88,0.125,0.42857142857142855,0.1935483870967742,0.08333333333333333,0.5082465277777778,0.5082465277777778
0,B2,calibration_seen,0.5914569497108461,0.36661836008230847,0.36546715209260583,0.11961507151172254,0.12138834047465555,432,8,14,136,274,0.05555555555555555,0.36363636363636365,0.0963855421686747,0.04861111111111111,0.5007716049382716,0.5007716049382716
0,B2,calibration_all,0.5914569497108461,0.36661836008230847,0.36546715209260583,0.11961507151172254,0.12138834047465555,432,8,14,136,274,0.05555555555555555,0.36363636363636365,0.0963855421686747,0.04861111111111111,0.5007716049382716,0.5007716049382716
0,B2,test_clear,0.5914569497108461,0.4356715989609559,0.3960908980419238,0.13107213343650387,0.11963413650267674,144,9,10,39,86,0.1875,0.47368421052631576,0.26865671641791045,0.10416666666666667,0.5826822916666666,0.5826822916666666
0,B2,test_seen,0.5914569497108461,0.3853088699074255,0.35142868840032154,0.12757925970472297,0.1146828651433365,432,16,15,128,273,0.1111111111111111,0.5161290322580645,0.18285714285714286,0.052083333333333336,0.5785349151234568,0.5785349151234568
0,B2,test_unseen,0.5914569497108461,0.3475616844370961,0.3213580730371177,0.12143179063641477,0.11076265178261627,720,17,16,223,464,0.07083333333333333,0.5151515151515151,0.12454212454212454,0.03333333333333333,0.5630381944444445,0.5630381944444445
0,B2,test_all,0.5914569497108461,0.36171687898846966,0.33263455379831913,0.12511464501445377,0.11318886727508967,1152,33,31,351,737,0.0859375,0.515625,0.14732142857142858,0.040364583333333336,0.5677897135416666,0.5677897135416666
1,B1,train_actual,0.48168078064918524,0.44307645068814355,0.38367507498090464,0.05620159903317749,0.0437453506599585,288,24,2,72,190,0.25,0.9230769230769231,0.39344262295081966,0.010416666666666666,0.7918836805555556,0.7918836805555556
1,B1,calibration_clear,0.48168078064918524,0.42672598361968994,0.4070834855859478,0.05741251558772588,0.054796618541596016,144,10,12,38,84,0.20833333333333334,0.45454545454545453,0.2857142857142857,0.125,0.5857204861111112,0.5857204861111112
1,B1,calibration_seen,0.48168078064918524,0.41210379182464546,0.39895460733936894,0.04600352042406049,0.04355297907662443,432,13,14,131,274,0.09027777777777778,0.48148148148148145,0.15204678362573099,0.04861111111111111,0.568407600308642,0.568407600308642
