method,scope,facility,geometry,n_seeds,recall_n_defined,recall_mean,recall_std,precision_n_defined,precision_mean,precision_std,f1_n_defined,f1_mean,f1_std,auroc_n_defined,auroc_mean,auroc_std,margin_auroc_n_defined,margin_auroc_mean,margin_auroc_std,false_positive_rate_n_defined,false_positive_rate_mean,false_positive_rate_std
P1_minus_B3,all,__all__,__all__,5,5,0.035937500000000004,0.03407380673707525,5,0.03064109407506572,0.02029320744867825,5,0.04148735459092241,0.03812252918965961,5,0.0,0.0,5,-0.0039028591579860715,0.0025596713754645365,5,-0.0036458333333333356,0.0040553154954159985
P1_minus_B3,seen,__all__,__all__,5,5,0.058333333333333334,0.050460839234958206,5,0.010002315743459222,0.02028291077604486,5,0.05452924164453955,0.04970552155178083,5,0.0,0.0,5,-0.0016878858024691023,0.00309173691115561,5,0.002083333333333334,0.003958942448260896
P1_minus_B3,seen,__all__,central_furniture,5,5,0.05,0.054326686710022075,5,-0.005040018236949195,0.018807489939541944,5,0.041421112364694014,0.04196455000064856,5,0.0,0.0,5,-0.003472222222222232,0.007359299026828649,5,0.006249999999999999,0.009316949906249122
P1_minus_B3,seen,__all__,clear,5,5,0.05416666666666666,0.07878196000495433,5,-0.01611574594954677,0.03589111420764036,5,0.03853223723449373,0.07041971369538766,5,0.0,0.0,5,-0.001953125,0.0036860433488418425,5,0.008333333333333335,0.008715208609729954
P1_minus_B3,seen,__all__,vertical_mid,5,5,0.07083333333333333,0.0562885670254429,5,0.06724451876625792,0.044586096821277635,5,0.08220385453456851,0.06142134952241167,5,0.0,0.0,5,4.340277777781232e-05,0.004841404281921435,5,-0.008333333333333333,0.008715208609729954
P1_minus_B3,seen,harsh,__all__,5,5,0.08333333333333334,0.08391004148329563,5,-0.010184226937379548,0.01738128706376333,5,0.06536143873252487,0.07499317055219033,5,0.0,0.0,5,-0.0004243827160493874,0.0007912478511571709,5,0.004166666666666667,0.006211299937499416
P1_minus_B3,seen,harsh,central_furniture,5,5,0.05833333333333335,0.04750730937913075,5,-0.009872721018231867,0.025677845032833133,5,0.04396921843021495,0.05132920435778648,5,0.0,0.0,5,-0.0003472222222222321,0.000776412492187449,5,0.004166666666666667,0.009316949906249124
P1_minus_B3,seen,harsh,clear,5,5,0.05833333333333333,0.13043729868748774,5,-0.011111111111111117,0.024845199749997673,5,0.03350929734810966,0.08639066352528776,5,0.0,0.0,5,0.0,0.0,5,0.004166666666666667,0.009316949906249124
P1_minus_B3,seen,harsh,vertical_mid,5,5,0.1333333333333333,0.12977009585331195,5,-0.00793650793650793,0.03806215494692633,5,0.1428186352218903,0.13341391099269898,5,0.0,0.0,5,-0.0003472222222222099,0.00047545360894543973,5,0.004166666666666667,0.009316949906249124
P1_minus_B3,seen,standard,__all__,5,5,0.03333333333333332,0.0610163406569133,5,0.027897768897768915,0.050380669146968836,5,0.031091497987541815,0.0500534763474409,5,0.0,0.0,5,0.0011188271604938515,0.0052464171197587894,5,1.3877787807814458e-18,0.01388888888888889
P1_minus_B3,seen,standard,central_furniture,5,5,0.04166666666666667,0.07795119555779045,5,0.011831098710894095,0.0701564900189745,5,0.03379718724696836,0.054788659861649935,5,0.0,0.0,5,0.005729166666666674,0.015105164398719638,5,0.00833333333333333,0.023753654689565373
P1_minus_B3,seen,standard,clear,5,5,0.05,0.054326686710022075,5,-0.011998491704374059,0.09289718450632849,5,0.04442684336873719,0.05721639821547511,5,0.0,0.0,5,0.0,0.0,5,0.0125,0.01863389981249825
P1_minus_B3,seen,standard,vertical_mid,5,5,0.008333333333333331,0.06846531968814577,5,0.07682539682539682,0.09546665695452554,5,0.017986920141291857,0.07329107181724429,5,0.0,0.0,5,0.012152777777777745,0.007340075748822809,5,-0.020833333333333332,0.020833333333333336
P1_minus_B3,unseen,__all__,__all__,5,5,0.0225,0.025276251480171843,5,0.04532841234108893,0.02309555331650579,5,0.031205936611607664,0.029528471678624057,5,0.0,0.0,5,-0.00385416666666667,0.0031334400877265855,5,-0.007083333333333333,0.004320091948609942
P1_minus_B3,unseen,__all__,horizontal_new,5,5,0.016666666666666656,0.04516559039308084,5,0.02869002766027935,0.03065710159632369,5,0.02158207785691722,0.0495525136220736,5,0.0,0.0,5,0.0029947916666666742,0.0050134435698381725,5,-0.002083333333333333,0.008715208609729956
