method,scope,facility,geometry,n_seeds,recall_n_defined,recall_mean,recall_std,precision_n_defined,precision_mean,precision_std,f1_n_defined,f1_mean,f1_std,auroc_n_defined,auroc_mean,auroc_std,margin_auroc_n_defined,margin_auroc_mean,margin_auroc_std,false_positive_rate_n_defined,false_positive_rate_mean,false_positive_rate_std
B1,all,__all__,__all__,5,5,0.3828125,0.06707941079370446,5,0.8839278026190389,0.03848297245794533,5,0.530962864577357,0.0642893401644336,5,0.8828504774305556,0.0032140562473974583,5,0.8828504774305556,0.0032140562473974583,5,0.02578125,0.011025501630216952
B1,seen,__all__,__all__,5,5,0.45972222222222225,0.07517982557069086,5,0.9042947177472701,0.028505994461692226,5,0.6059822736908496,0.0651507624195801,5,0.9044511959876542,0.004757671728584691,5,0.9044511959876542,0.004757671728584691,5,0.025,0.011089388487966187
B1,seen,__all__,central_furniture,5,5,0.45833333333333337,0.07795119555779045,5,0.911255060728745,0.04350016155587177,5,0.6062871151730261,0.07095219408404577,5,0.9135850694444445,0.0056660992373600205,5,0.9135850694444445,0.0056660992373600205,5,0.022916666666666665,0.013581671677505519
B1,seen,__all__,clear,5,5,0.5791666666666666,0.045165590393080816,5,0.9225951402066203,0.03038656289951351,5,0.7101769064526089,0.029309317737467467,5,0.9302083333333334,0.0033710577344988977,5,0.9302083333333334,0.0033710577344988977,5,0.025,0.011876827344782686
B1,seen,__all__,vertical_mid,5,5,0.3416666666666667,0.11082863398558657,5,0.8596363636363638,0.033554637269345024,5,0.4810980409499919,0.12076219002704,5,0.868359375,0.008490763735819957,5,0.868359375,0.008490763735819957,5,0.02708333333333333,0.009316949906249122
B1,seen,harsh,__all__,5,5,0.7305555555555555,0.110937364153977,5,0.970752688172043,0.028886531917333435,5,0.8283119315433215,0.06597526005039633,5,0.985648148148148,0.004467756672235899,5,0.985648148148148,0.004467756672235899,5,0.0125,0.012422599874998832
B1,seen,harsh,central_furniture,5,5,0.7583333333333334,0.12289901003127189,5,0.980952380952381,0.02608202654786508,5,0.8499145299145298,0.07585584445989985,5,0.9894097222222221,0.004181109228747298,5,0.9894097222222221,0.004181109228747298,5,0.008333333333333333,0.01141088661469096
B1,seen,harsh,clear,5,5,0.925,0.061801654059130524,5,0.967,0.034769079494414136,5,0.9440408969912075,0.029978177954284726,5,0.9967013888888889,0.0038528369828423987,5,0.9967013888888889,0.0038528369828423987,5,0.016666666666666666,0.017430417219459905
B1,seen,harsh,vertical_mid,5,5,0.5083333333333333,0.16509677296799122,5,0.9624019607843138,0.034434137467707016,5,0.6491007943014238,0.14311467855441432,5,0.9673611111111111,0.011752459233386319,5,0.9673611111111111,0.011752459233386319,5,0.0125,0.01141088661469096
B1,seen,standard,__all__,5,5,0.18888888888888888,0.04235541856104695,5,0.7166986359761294,0.06666137656491206,5,0.2971439738439473,0.05488986541998609,5,0.7766589506172841,0.014939045531346716,5,0.7766589506172841,0.014939045531346716,5,0.0375,0.012615209808739548
B1,seen,standard,central_furniture,5,5,0.15833333333333333,0.045643546458763846,5,0.6771428571428573,0.1361271914236754,5,0.2550452884157,0.06712487775691962,5,0.7791666666666666,0.018974511056421096,5,0.7791666666666666,0.018974511056421096,5,0.0375,0.01743041721945991
B1,seen,standard,clear,5,5,0.2333333333333333,0.06319062870042959,5,0.7771428571428571,0.06194138111051084,5,0.35574167375515275,0.07542037840825816,5,0.8125,0.015564601629375948,5,0.8125,0.015564601629375948,5,0.03333333333333333,0.01141088661469096
B1,seen,standard,vertical_mid,5,5,0.175,0.07453559924999299,5,0.6631746031746031,0.12933537491278124,5,0.2735385637721567,0.10010164225636185,5,0.7423611111111111,0.014465566987827375,5,0.7423611111111111,0.014465566987827375,5,0.041666666666666664,0.01473139127471974
B1,unseen,__all__,__all__,5,5,0.33666666666666667,0.06517870732753825,5,0.8692452153452572,0.05254138396150431,5,0.48178142406870367,0.06570920745529,5,0.868701388888889,0.0038657750686336115,5,0.868701388888889,0.0038657750686336115,5,0.026250000000000002,0.012377875647927456
B1,unseen,__all__,horizontal_new,5,5,0.3583333333333333,0.13290948256447152,5,0.8011000297768369,0.07254734238838766,5,0.48598552463453315,0.12311636399478783,5,0.8756510416666666,0.009758388522533476,5,0.8756510416666666,0.009758388522533476,5,0.043750000000000004,0.017116329922036443
B1,unseen,__all__,low_new,5,5,0.4625,0.04750730937913077,5,0.8589852216748767,0.05355987758375542,5,0.5988085920610625,0.03459511061631627,5,0.8977430555555556,0.003609874546225518,5,0.8977430555555556,0.003609874546225518,5,0.03958333333333334,0.017116329922036443
B1,unseen,__all__,two_new,5,5,0.30416666666666664,0.07597742720337695,5,0.9420383538030597,0.05484187006390435,5,0.454722046290852,0.08626602797879375,5,0.8673177083333332,0.003967854313177109,5,0.8673177083333332,0.003967854313177109,5,0.010416666666666666,0.010416666666666666
B1,unseen,__all__,vertical_new,5,5,0.25416666666666665,0.08254838648399561,5,0.8679824561403509,0.055177809337403516,5,0.3860324812718019,0.09980311319977146,5,0.8442708333333334,0.011849236553001434,5,0.8442708333333334,0.011849236553001434,5,0.020833333333333332,0.014731391274719742
B1,unseen,__all__,wide_new,5,5,0.3041666666666667,0.04564354645876386,5,0.9055555555555556,0.06431020501550125,5,0.4533555697490124,0.050090602401651384,5,0.8828559027777777,0.006995795384881515,5,0.8828559027777777,0.006995795384881515,5,0.016666666666666666,0.011876827344782686
B1,unseen,harsh,__all__,5,5,0.525,0.0980716857994985,5,0.9700585680312888,0.03183658867474844,5,0.6758767359755758,0.07791861036536724,5,0.9695833333333332,0.008124369336872505,5,0.9695833333333332,0.008124369336872505,5,0.009166666666666667,0.00950146187582615
B1,unseen,harsh,horizontal_new,5,5,0.4916666666666667,0.17775607506417948,5,0.9846153846153847,0.03440104580768905,5,0.6417680334233002,0.14527407786328805,5,0.9727430555555557,0.008693566637884908,5,0.9727430555555557,0.008693566637884908,5,0.004166666666666667,0.009316949906249124
B1,unseen,harsh,low_new,5,5,0.7666666666666666,0.08122328620674137,5,0.9524499654934437,0.04586153699659808,5,0.8462612410954815,0.04224582903393301,5,0.9885416666666667,0.007798018986623539,5,0.9885416666666667,0.007798018986623539,5,0.020833333333333332,0.020833333333333332
B1,unseen,harsh,two_new,5,5,0.4666666666666666,0.11931517552730295,5,0.9833333333333332,0.03726779962499651,5,0.6256998256998256,0.11066069378235009,5,0.9684027777777778,0.011177374029736014,5,0.9684027777777778,0.011177374029736014,5,0.004166666666666667,0.009316949906249124
B1,unseen,harsh,vertical_new,5,5,0.4,0.14006446928309674,5,0.9692307692307693,0.04213250442347429,5,0.5520808906793334,0.14562650216801756,5,0.9527777777777777,0.017593925083553077,5,0.9527777777777777,0.017593925083553077,5,0.008333333333333333,0.01141088661469096
B1,unseen,harsh,wide_new,5,5,0.5,0.08333333333333333,5,0.9690476190476189,0.042591770999996,5,0.6562718258693491,0.07241558134942781,5,0.9727430555555555,0.011927475025915063,5,0.9727430555555555,0.011927475025915063,5,0.008333333333333333,0.01141088661469096
