method,scope,facility,geometry,n_seeds,recall_n_defined,recall_mean,recall_std,precision_n_defined,precision_mean,precision_std,f1_n_defined,f1_mean,f1_std,auroc_n_defined,auroc_mean,auroc_std,margin_auroc_n_defined,margin_auroc_mean,margin_auroc_std,false_positive_rate_n_defined,false_positive_rate_mean,false_positive_rate_std
B1,unseen,harsh,two_new,5,5,0.20833333333333331,0.07795119555779044,5,0.740934065934066,0.15581307404771128,5,0.31350261551874453,0.07880974237808254,5,0.6618055555555556,0.12464776036404805,5,0.6618055555555556,0.12464776036404805,5,0.04583333333333333,0.04007371679514864
B1,unseen,harsh,vertical_new,5,5,0.04166666666666667,0.09316949906249125,2,,,5,0.06451612903225806,0.14426245016127676,5,0.7149305555555555,0.11612266989997717,5,0.7149305555555555,0.11612266989997717,5,0.0125,0.018633899812498245
B1,unseen,harsh,wide_new,5,5,0.20833333333333334,0.09316949906249122,5,0.7159340659340659,0.18614132578521267,5,0.3067718462879753,0.10874843898959331,5,0.6505208333333334,0.11552250837879875,5,0.6505208333333334,0.11552250837879875,5,0.054166666666666675,0.04061164310337068
B1,unseen,standard,__all__,5,5,0.003333333333333333,0.007453559924999298,1,,,5,0.006557377049180328,0.014662740836064196,5,0.6205208333333333,0.12210467980722775,5,0.6205208333333333,0.12210467980722775,5,0.0,0.0
B1,unseen,standard,horizontal_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.6527777777777778,0.13162424597933936,5,0.6527777777777778,0.13162424597933936,5,0.0,0.0
B1,unseen,standard,low_new,5,5,0.016666666666666666,0.037267799624996496,1,,,5,0.03076923076923077,0.06880209161537815,5,0.6527777777777778,0.13724888949577727,5,0.6527777777777778,0.13724888949577727,5,0.0,0.0
B1,unseen,standard,two_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.6333333333333333,0.13415404736705272,5,0.6333333333333333,0.13415404736705272,5,0.0,0.0
B1,unseen,standard,vertical_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.6163194444444444,0.09709037438701694,5,0.6163194444444444,0.09709037438701694,5,0.0,0.0
B1,unseen,standard,wide_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.5819444444444445,0.10510392864653882,5,0.5819444444444445,0.10510392864653882,5,0.0,0.0
B2,all,__all__,__all__,5,5,0.07760416666666667,0.01995206386393537,5,0.553446577647159,0.10357114619515868,5,0.13538619138765456,0.03180039743846293,5,0.5878421359592014,0.06284760740462442,5,0.5878421359592014,0.06284760740462442,5,0.032031250000000004,0.011298902682248249
B2,seen,__all__,__all__,5,5,0.10833333333333332,0.028463752127665557,5,0.5266186213223729,0.11593480996122095,5,0.17889907170056057,0.04269633953297901,5,0.5989631558641976,0.07185078481948656,5,0.5989631558641976,0.07185078481948656,5,0.04930555555555556,0.01418945607062677
B2,seen,__all__,central_furniture,5,5,0.1125,0.043200919486099415,5,0.6030769230769231,0.13608658824560463,5,0.1852892050726879,0.06115623897983733,5,0.5996961805555555,0.07260608224821333,5,0.5996961805555555,0.07260608224821333,5,0.04166666666666667,0.025515518153991442
B2,seen,__all__,clear,5,5,0.19583333333333333,0.05628856702544291,5,0.5049452611372116,0.13311409030653312,5,0.27931672329519164,0.06897578831336226,5,0.6095486111111111,0.08334878848834244,5,0.6095486111111111,0.08334878848834244,5,0.1,0.0372677996249965
