seed,scope,facility,geometry,method,recall,precision,f1,auroc,margin_auroc,false_positive_rate
0,all,__all__,__all__,P1_minus_B3,0.0026041666666666644,0.012307692307692242,0.0046752936967022485,0.0,0.01630655924479163,0.0
0,seen,__all__,__all__,P1_minus_B3,0.0069444444444444475,0.08333333333333337,0.01282051282051283,0.0,0.010826581790123524,-0.003472222222222222
0,seen,__all__,central_furniture,P1_minus_B3,0.0,0.13333333333333341,0.0027952480782669487,0.0,0.00889756944444442,-0.010416666666666666
0,seen,__all__,clear,P1_minus_B3,0.020833333333333343,0.04761904761904767,0.03367003367003368,0.0,0.001953125,0.0
0,seen,__all__,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,0.03276909722222221,0.0
0,seen,harsh,__all__,P1_minus_B3,0.013888888888888895,0.018181818181818188,0.021745518660005875,0.0,-0.004533179012345623,0.0
0,seen,harsh,central_furniture,P1_minus_B3,0.0,0.0,0.0,0.0,-0.0078125,0.0
0,seen,harsh,clear,P1_minus_B3,0.041666666666666685,0.033333333333333326,0.05747126436781608,0.0,-0.0026041666666666297,0.0
0,seen,harsh,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,-0.00434027777777779,0.0
0,seen,standard,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,0.021604938271604923,-0.006944444444444444
0,seen,standard,central_furniture,P1_minus_B3,0.0,,0.0,0.0,0.0234375,-0.020833333333333332
0,seen,standard,clear,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0,seen,standard,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,0.04427083333333326,0.0
0,unseen,__all__,__all__,P1_minus_B3,0.0,-0.049450549450549386,-0.00028010332700507956,0.0,0.020564236111111134,0.002083333333333333
0,unseen,__all__,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,0.04926215277777779,0.0
0,unseen,__all__,low_new,P1_minus_B3,0.0,-0.16666666666666663,-0.0015082956259426794,0.0,0.00998263888888895,0.010416666666666666
0,unseen,__all__,two_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.01736111111111105,0.0
0,unseen,__all__,vertical_new,P1_minus_B3,0.0,,0.0,0.0,0.03059895833333337,0.0
0,unseen,__all__,wide_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.00889756944444442,0.0
0,unseen,harsh,__all__,P1_minus_B3,0.0,-0.1071428571428571,-0.0020352781546811305,0.0,-0.004409722222222245,0.008333333333333331
0,unseen,harsh,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,0.0,0.0
0,unseen,harsh,low_new,P1_minus_B3,0.0,-0.16666666666666663,-0.005291005291005291,0.0,0.0,0.020833333333333332
0,unseen,harsh,two_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0,unseen,harsh,vertical_new,P1_minus_B3,0.0,,0.0,0.0,-0.01475694444444442,0.0
0,unseen,harsh,wide_new,P1_minus_B3,0.0,-0.13333333333333341,-0.009195402298850575,0.0,-0.00868055555555558,0.020833333333333332
0,unseen,standard,__all__,P1_minus_B3,0.0,,0.0,0.0,0.0323958333333334,-0.004166666666666667
0,unseen,standard,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,0.07725694444444442,0.0
0,unseen,standard,low_new,P1_minus_B3,0.0,,0.0,0.0,-0.0017361111111110494,0.0
0,unseen,standard,two_new,P1_minus_B3,0.0,,0.0,0.0,0.03559027777777779,0.0
0,unseen,standard,vertical_new,P1_minus_B3,0.0,,0.0,0.0,0.03559027777777779,0.0
0,unseen,standard,wide_new,P1_minus_B3,0.0,,0.0,0.0,0.015625,-0.020833333333333332
1,all,__all__,__all__,P1_minus_B3,0.0,-0.015765765765765827,-0.0008044127786715483,0.0,0.004838731553819531,0.0026041666666666644
1,seen,__all__,__all__,P1_minus_B3,-0.0069444444444444475,-0.030303030303030276,-0.011299435028248594,0.0,0.004243827160493763,0.0034722222222222238
1,seen,__all__,central_furniture,P1_minus_B3,0.0,-0.05357142857142855,-0.0019480519480519487,0.0,0.0026041666666667407,0.010416666666666671
1,seen,__all__,clear,P1_minus_B3,0.0,0.0,0.0,0.0,0.0006510416666666297,0.0
1,seen,__all__,vertical_mid,P1_minus_B3,-0.020833333333333343,-0.019230769230769273,-0.02786885245901638,0.0,0.01041666666666663,0.0
1,seen,harsh,__all__,P1_minus_B3,0.0,-0.03947368421052633,-0.0035833731485905296,0.0,-0.00038580246913588745,0.0069444444444444475
1,seen,harsh,central_furniture,P1_minus_B3,0.0,-0.15000000000000002,-0.007389162561576346,0.0,-0.0008680555555555802,0.020833333333333332
1,seen,harsh,clear,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
1,seen,harsh,vertical_mid,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
1,seen,standard,__all__,P1_minus_B3,-0.013888888888888881,-0.04395604395604391,-0.02188782489740082,0.0,0.00376157407407407,0.0
1,seen,standard,central_furniture,P1_minus_B3,0.0,0.0,0.0,0.0,0.006076388888888951,0.0
1,seen,standard,clear,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
1,seen,standard,vertical_mid,P1_minus_B3,-0.04166666666666666,-0.06666666666666665,-0.059770114942528735,0.0,0.00694444444444442,0.0
1,unseen,__all__,__all__,P1_minus_B3,0.004166666666666666,-0.0018761726078798668,0.006045995484636274,0.0,0.005998263888888911,0.002083333333333333
1,unseen,__all__,horizontal_new,P1_minus_B3,0.02083333333333333,0.07142857142857145,0.033766233766233764,0.0,0.01150173611111116,0.0
1,unseen,__all__,low_new,P1_minus_B3,0.0,-0.07142857142857145,-0.0020202020202020193,0.0,0.005642361111111049,0.010416666666666664
1,unseen,__all__,two_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0036892361111111605,0.0
1,unseen,__all__,vertical_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.006076388888888951,0.0
1,unseen,__all__,wide_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0032552083333333703,0.0
1,unseen,harsh,__all__,P1_minus_B3,0.016666666666666663,-0.010869565217391353,0.023476523476523486,0.0,-0.00045138888888884843,0.004166666666666669
1,unseen,harsh,horizontal_new,P1_minus_B3,0.04166666666666667,0.0,0.06837606837606836,0.0,0.0,0.0
1,unseen,harsh,low_new,P1_minus_B3,0.0,-0.16666666666666663,-0.005291005291005291,0.0,0.0,0.020833333333333332
1,unseen,harsh,two_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
1,unseen,harsh,vertical_new,P1_minus_B3,0.041666666666666685,0.033333333333333326,0.05747126436781608,0.0,-0.0017361111111110494,0.0
1,unseen,harsh,wide_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
1,unseen,standard,__all__,P1_minus_B3,-0.008333333333333338,-0.03801169590643272,-0.013867167135856534,0.0,0.003680555555555576,0.0
1,unseen,standard,horizontal_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0017361111111111605,0.0
1,unseen,standard,low_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0026041666666666297,0.0
1,unseen,standard,two_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.00347222222222221,0.0
1,unseen,standard,vertical_new,P1_minus_B3,-0.04166666666666667,-0.09999999999999998,-0.06403940886699508,0.0,0.006076388888888951,0.0
1,unseen,standard,wide_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0017361111111110494,0.0
2,all,__all__,__all__,P1_minus_B3,0.005208333333333329,0.021505376344086002,0.009130045361301312,0.0,0.03018527560763884,0.0
2,seen,__all__,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,0.01801215277777779,0.0
2,seen,__all__,central_furniture,P1_minus_B3,0.0,0.0,0.0,0.0,0.013671875,0.0
2,seen,__all__,clear,P1_minus_B3,0.0,0.0,0.0,0.0,0.0015190972222222099,0.0
2,seen,__all__,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,0.05750868055555558,0.0
2,seen,harsh,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,-0.00868055555555547,0.0
2,seen,harsh,central_furniture,P1_minus_B3,0.0,0.0,0.0,0.0,-0.01128472222222221,0.0
2,seen,harsh,clear,P1_minus_B3,0.0,0.0,0.0,0.0,-0.00520833333333337,0.0
2,seen,harsh,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,-0.01388888888888884,0.0
2,seen,standard,__all__,P1_minus_B3,0.0,,0.0,0.0,0.04745370370370361,0.0
2,seen,standard,central_furniture,P1_minus_B3,0.0,,0.0,0.0,0.05208333333333337,0.0
2,seen,standard,clear,P1_minus_B3,0.0,,0.0,0.0,0.0,0.0
2,seen,standard,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,0.09548611111111105,0.0
2,unseen,__all__,__all__,P1_minus_B3,0.008333333333333338,0.04166666666666663,0.014898255813953487,0.0,0.03850694444444447,0.0
2,unseen,__all__,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,0.07421875,0.0
2,unseen,__all__,low_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.01649305555555558,0.0
2,unseen,__all__,two_new,P1_minus_B3,0.02083333333333333,0.06666666666666665,0.03494060097833682,0.0,0.04861111111111116,0.0
2,unseen,__all__,vertical_new,P1_minus_B3,0.0,,0.0,0.0,0.05598958333333326,0.0
2,unseen,__all__,wide_new,P1_minus_B3,0.02083333333333333,0.06666666666666665,0.03494060097833682,0.0,0.033203125,0.0
2,unseen,harsh,__all__,P1_minus_B3,0.016666666666666677,0.04166666666666663,0.026854219948849095,0.0,-0.006145833333333295,0.0
2,unseen,harsh,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,0.0,0.0
2,unseen,harsh,low_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
2,unseen,harsh,two_new,P1_minus_B3,0.04166666666666666,0.06666666666666665,0.059770114942528735,0.0,0.0,0.0
2,unseen,harsh,vertical_new,P1_minus_B3,0.0,,0.0,0.0,-0.03819444444444442,0.0
2,unseen,harsh,wide_new,P1_minus_B3,0.04166666666666666,0.06666666666666665,0.059770114942528735,0.0,-0.00868055555555547,0.0
2,unseen,standard,__all__,P1_minus_B3,0.0,,0.0,0.0,0.07934027777777775,0.0
2,unseen,standard,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,0.09288194444444453,0.0
2,unseen,standard,low_new,P1_minus_B3,0.0,,0.0,0.0,0.0234375,0.0
2,unseen,standard,two_new,P1_minus_B3,0.0,,0.0,0.0,0.11631944444444442,0.0
2,unseen,standard,vertical_new,P1_minus_B3,0.0,,0.0,0.0,0.06510416666666674,0.0
2,unseen,standard,wide_new,P1_minus_B3,0.0,,0.0,0.0,0.09288194444444442,0.0
3,all,__all__,__all__,P1_minus_B3,-0.013020833333333329,-0.03588516746411485,-0.022332844624774112,0.0,0.03359646267361116,0.0
3,seen,__all__,__all__,P1_minus_B3,-0.027777777777777776,-0.07608695652173914,-0.04461808091134803,0.0,0.023919753086419804,0.0034722222222222238
3,seen,__all__,central_furniture,P1_minus_B3,-0.020833333333333343,-0.04761904761904767,-0.03367003367003368,0.0,0.02083333333333337,0.0
3,seen,__all__,clear,P1_minus_B3,-0.04166666666666666,-0.080952380952381,-0.0578597030209933,0.0,0.01302083333333326,0.010416666666666668
3,seen,__all__,vertical_mid,P1_minus_B3,-0.020833333333333332,,-0.04081632653061224,0.0,0.05447048611111105,0.0
3,seen,harsh,__all__,P1_minus_B3,0.013888888888888895,-0.044642857142857095,0.01638477801268501,0.0,-0.00520833333333337,0.006944444444444444
3,seen,harsh,central_furniture,P1_minus_B3,0.0,0.0,0.0,0.0,-0.00347222222222221,0.0
3,seen,harsh,clear,P1_minus_B3,0.041666666666666685,-0.07070707070707061,0.029437229437229373,0.0,-0.0026041666666666297,0.020833333333333332
3,seen,harsh,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,-0.00520833333333337,0.0
3,seen,standard,__all__,P1_minus_B3,-0.06944444444444445,-0.2777777777777778,-0.12020792722547108,0.0,0.013117283950617287,0.0
3,seen,standard,central_furniture,P1_minus_B3,-0.041666666666666664,-0.5,-0.07692307692307693,0.0,0.02517361111111105,0.0
3,seen,standard,clear,P1_minus_B3,-0.125,-0.16666666666666674,-0.18518518518518517,0.0,0.0,0.0
3,seen,standard,vertical_mid,P1_minus_B3,-0.041666666666666664,,-0.08,0.0,0.03298611111111105,0.0
3,unseen,__all__,__all__,P1_minus_B3,-0.004166666666666666,0.02564102564102566,-0.007285127489731064,0.0,0.04203993055555555,-0.002083333333333333
3,unseen,__all__,horizontal_new,P1_minus_B3,-0.020833333333333332,,-0.04081632653061224,0.0,0.09700520833333337,0.0
3,unseen,__all__,low_new,P1_minus_B3,0.04166666666666667,0.2333333333333334,0.07197763801537385,0.0,0.01866319444444442,-0.010416666666666666
3,unseen,__all__,two_new,P1_minus_B3,0.0,0.16666666666666663,0.0015082956259426794,0.0,0.04275173611111105,-0.010416666666666666
3,unseen,__all__,vertical_new,P1_minus_B3,-0.020833333333333332,,-0.04081632653061224,0.0,0.05729166666666674,0.0
3,unseen,__all__,wide_new,P1_minus_B3,-0.020833333333333336,-0.25,-0.038461538461538464,0.0,0.03016493055555558,0.010416666666666666
3,unseen,harsh,__all__,P1_minus_B3,0.016666666666666663,-0.022727272727272707,0.028387404580152667,0.0,-0.0034027777777777546,0.0041666666666666675
3,unseen,harsh,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,0.0,0.0
3,unseen,harsh,low_new,P1_minus_B3,0.08333333333333333,0.13333333333333341,0.1277139208173691,0.0,0.0,0.0
3,unseen,harsh,two_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
3,unseen,harsh,vertical_new,P1_minus_B3,0.0,,0.0,0.0,-0.015625,0.0
3,unseen,harsh,wide_new,P1_minus_B3,0.0,-0.33333333333333337,-0.005698005698005715,0.0,-0.00434027777777779,0.020833333333333332
3,unseen,standard,__all__,P1_minus_B3,-0.025,-0.0714285714285714,-0.046598683361301144,0.0,0.02197916666666666,-0.008333333333333335
3,unseen,standard,horizontal_new,P1_minus_B3,-0.041666666666666664,,-0.08,0.0,0.03819444444444442,0.0
3,unseen,standard,low_new,P1_minus_B3,0.0,0.5,0.0030769230769230743,0.0,-0.015625,-0.020833333333333332
3,unseen,standard,two_new,P1_minus_B3,0.0,,0.0,0.0,0.05034722222222221,-0.020833333333333332
3,unseen,standard,vertical_new,P1_minus_B3,-0.041666666666666664,,-0.08,0.0,0.01822916666666663,0.0
3,unseen,standard,wide_new,P1_minus_B3,-0.041666666666666664,-0.5,-0.07692307692307693,0.0,0.03732638888888884,0.0
4,all,__all__,__all__,P1_minus_B3,-0.026041666666666664,-0.017595307917888547,-0.043508613894831655,0.0,0.02607218424479174,-0.00390625
4,seen,__all__,__all__,P1_minus_B3,-0.02083333333333333,0.04421052631578948,-0.029839909972047773,0.0,0.02141203703703698,-0.010416666666666668
4,seen,__all__,central_furniture,P1_minus_B3,-0.02083333333333333,0.08333333333333337,-0.03276353276353275,0.0,0.02061631944444453,-0.010416666666666666
4,seen,__all__,clear,P1_minus_B3,-0.020833333333333315,0.050000000000000044,-0.020634920634920617,0.0,0.00954861111111105,-0.020833333333333336
4,seen,__all__,vertical_mid,P1_minus_B3,-0.02083333333333333,0.0,-0.036199095022624445,0.0,0.04340277777777779,0.0
4,seen,harsh,__all__,P1_minus_B3,0.013888888888888895,0.02197802197802201,0.02079343365253078,0.0,-0.002989969135802406,0.0
4,seen,harsh,central_furniture,P1_minus_B3,0.04166666666666667,0.08333333333333337,0.06613756613756613,0.0,-0.00434027777777779,0.0
4,seen,harsh,clear,P1_minus_B3,0.0,0.0,0.0,0.0,-0.0008680555555555802,0.0
4,seen,harsh,vertical_mid,P1_minus_B3,0.0,0.0,0.0,0.0,-0.00434027777777779,0.0
4,seen,standard,__all__,P1_minus_B3,-0.05555555555555556,0.016666666666666607,-0.08874458874458874,0.0,0.02189429012345684,-0.020833333333333336
4,seen,standard,central_furniture,P1_minus_B3,-0.08333333333333333,,-0.14814814814814814,0.0,0.02517361111111116,-0.020833333333333332
4,seen,standard,clear,P1_minus_B3,-0.041666666666666664,0.0,-0.05925925925925926,0.0,0.0,-0.041666666666666664
4,seen,standard,vertical_mid,P1_minus_B3,-0.04166666666666667,0.0,-0.06837606837606836,0.0,0.055555555555555525,0.0
4,unseen,__all__,__all__,P1_minus_B3,-0.029166666666666667,-0.09210526315789469,-0.05212355212355213,0.0,0.030017361111111085,0.0
4,unseen,__all__,horizontal_new,P1_minus_B3,-0.041666666666666664,,-0.08,0.0,0.060546875,0.0
4,unseen,__all__,low_new,P1_minus_B3,-0.02083333333333333,-0.050000000000000044,-0.0355587808417997,0.0,0.01280381944444442,0.0
4,unseen,__all__,two_new,P1_minus_B3,-0.020833333333333336,-0.08333333333333337,-0.036953242835595784,0.0,0.033203125,0.0
4,unseen,__all__,vertical_new,P1_minus_B3,-0.020833333333333336,0.0,-0.03764705882352941,0.0,0.04231770833333337,0.0
4,unseen,__all__,wide_new,P1_minus_B3,-0.041666666666666664,-0.13333333333333341,-0.07251202367739548,0.0,0.03276909722222221,0.0
4,unseen,harsh,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,-0.00347222222222221,0.0
