method,scope,facility,geometry,n_seeds,recall_n_defined,recall_mean,recall_std,precision_n_defined,precision_mean,precision_std,f1_n_defined,f1_mean,f1_std,auroc_n_defined,auroc_mean,auroc_std,margin_auroc_n_defined,margin_auroc_mean,margin_auroc_std,false_positive_rate_n_defined,false_positive_rate_mean,false_positive_rate_std
P1_minus_B3,all,__all__,__all__,5,5,-0.00625,0.01309872535412426,5,-0.007086634499198196,0.02349871291076036,5,-0.01056810644805475,0.022018141622109546,5,0.0,0.0,5,0.02219984266493058,0.011670305102034593,5,-0.00026041666666666715,0.00232923747656228
P1_minus_B3,seen,__all__,__all__,5,5,-0.00972222222222222,0.014400306495366473,5,0.004230774564870687,0.062283658395997366,5,-0.014587382618226313,0.022963435577224744,5,0.0,0.0,5,0.01568287037037037,0.008070476944362016,5,-0.0013888888888888885,0.0058101390731533035
P1_minus_B3,seen,__all__,central_furniture,5,5,-0.008333333333333335,0.011410886614690962,5,0.023095238095238113,0.08245111243059787,5,-0.013117274060670286,0.018428335320817654,5,0.0,0.0,5,0.013324652777777812,0.007813404172215292,5,-0.002083333333333332,0.008715208609729956
P1_minus_B3,seen,__all__,clear,5,5,-0.008333333333333326,0.023753654689565373,5,0.0033333333333333435,0.05306907320287635,5,-0.008964917997176048,0.03356101747991173,5,0.0,0.0,5,0.0053385416666666295,0.005584893644912175,5,-0.0020833333333333337,0.011410886614690962
P1_minus_B3,seen,__all__,vertical_mid,5,5,-0.0125,0.011410886614690962,2,,,5,-0.020976854802450613,0.01970328489286432,5,0.0,0.0,5,0.03971354166666665,0.019069458788219407,5,0.0,0.0
P1_minus_B3,seen,harsh,__all__,5,5,0.008333333333333337,0.007607257743127311,5,-0.008791340238708645,0.03153700241592932,5,0.011068071435326227,0.01197940891712157,5,0.0,0.0,5,-0.004359567901234551,0.0030449996048044258,5,0.0027777777777777783,0.0038036288715636545
P1_minus_B3,seen,harsh,central_furniture,5,5,0.008333333333333335,0.01863389981249825,5,-0.01333333333333333,0.08449194570424386,5,0.011749680715197958,0.030571646968297533,5,0.0,0.0,5,-0.005555555555555558,0.004052992197891917,5,0.004166666666666667,0.009316949906249124
P1_minus_B3,seen,harsh,clear,5,5,0.016666666666666673,0.02282177322938193,5,-0.007474747474747456,0.038181283733098786,5,0.01738169876100909,0.025782161691192445,5,0.0,0.0,5,-0.002256944444444442,0.001998413964100933,5,0.004166666666666667,0.009316949906249124
P1_minus_B3,seen,harsh,vertical_mid,5,5,0.0,0.0,2,,,5,0.0,0.0,5,0.0,0.0,5,-0.005555555555555558,0.005083871689009117,5,0.0,0.0
P1_minus_B3,seen,standard,__all__,5,5,-0.02777777777777778,0.032572331665440483,4,,,5,-0.04616806817349213,0.05510710499488367,5,0.0,0.0,5,0.021566358024691347,0.016268534648508425,5,-0.005555555555555556,0.009054447785003679
P1_minus_B3,seen,standard,central_furniture,5,5,-0.025,0.03726779962499649,2,,,5,-0.045014245014245016,0.06658382365865385,5,0.0,0.0,5,0.026388888888888906,0.016465620456624305,5,-0.008333333333333333,0.01141088661469096
P1_minus_B3,seen,standard,clear,5,5,-0.03333333333333333,0.05432668671002208,4,,,5,-0.048888888888888885,0.08039682104423784,5,0.0,0.0,5,0.0,0.0,5,-0.008333333333333333,0.018633899812498248
P1_minus_B3,seen,standard,vertical_mid,5,5,-0.024999999999999998,0.02282177322938192,2,,,5,-0.04162923666371941,0.03867423768089058,5,0.0,0.0,5,0.04704861111111106,0.0325283478280536,5,0.0,0.0
P1_minus_B3,unseen,__all__,__all__,5,5,-0.004166666666666666,0.014731391274719742,5,-0.015224858581726331,0.055151718193696915,5,-0.0077489063283397025,0.02611656834110971,5,0.0,0.0,5,0.02742534722222223,0.014571385699851292,5,0.0004166666666666666,0.0017430417219459905
