seed,method,scope,facility,geometry,n,tp,fp,fn,tn,recall,precision,f1,false_positive_rate,auroc,margin_auroc
0,B1,all,__all__,__all__,1152,9,13,375,755,0.0234375,0.4090909090909091,0.04433497536945813,0.016927083333333332,0.6072116427951388,0.6072116427951388
0,B2,all,__all__,__all__,1152,22,9,362,759,0.057291666666666664,0.7096774193548387,0.10602409638554217,0.01171875,0.6394009060329862,0.6394009060329862
0,B3,all,__all__,__all__,1152,17,8,367,760,0.044270833333333336,0.68,0.08312958435207823,0.010416666666666666,0.6394009060329862,0.6309950086805556
0,P1,all,__all__,__all__,1152,18,8,366,760,0.046875,0.6923076923076923,0.08780487804878048,0.010416666666666666,0.6394009060329862,0.6473015679253472
0,B1,seen,__all__,__all__,432,4,6,140,282,0.027777777777777776,0.4,0.05194805194805195,0.020833333333333332,0.6114486882716049,0.6114486882716049
0,B2,seen,__all__,__all__,432,10,4,134,284,0.06944444444444445,0.7142857142857143,0.12658227848101267,0.013888888888888888,0.640625,0.640625
0,B3,seen,__all__,__all__,432,8,4,136,284,0.05555555555555555,0.6666666666666666,0.10256410256410256,0.013888888888888888,0.640625,0.6345727237654321
0,P1,seen,__all__,__all__,432,9,3,135,285,0.0625,0.75,0.11538461538461539,0.010416666666666666,0.640625,0.6453993055555556
0,B1,seen,__all__,central_furniture,144,1,2,47,94,0.020833333333333332,0.3333333333333333,0.0392156862745098,0.020833333333333332,0.6059027777777778,0.6059027777777778
0,B2,seen,__all__,central_furniture,144,5,2,43,94,0.10416666666666667,0.7142857142857143,0.18181818181818182,0.020833333333333332,0.6501736111111112,0.6501736111111112
0,B3,seen,__all__,central_furniture,144,4,2,44,94,0.08333333333333333,0.6666666666666666,0.14814814814814814,0.020833333333333332,0.6501736111111112,0.6458333333333334
0,P1,seen,__all__,central_furniture,144,4,1,44,95,0.08333333333333333,0.8,0.1509433962264151,0.010416666666666666,0.6501736111111112,0.6547309027777778
0,B1,seen,__all__,clear,144,2,2,46,94,0.041666666666666664,0.5,0.07692307692307693,0.020833333333333332,0.6200086805555556,0.6200086805555556
0,B2,seen,__all__,clear,144,5,2,43,94,0.10416666666666667,0.7142857142857143,0.18181818181818182,0.020833333333333332,0.6434461805555556,0.6434461805555556
0,B3,seen,__all__,clear,144,4,2,44,94,0.08333333333333333,0.6666666666666666,0.14814814814814814,0.020833333333333332,0.6434461805555556,0.6412760416666666
0,P1,seen,__all__,clear,144,5,2,43,94,0.10416666666666667,0.7142857142857143,0.18181818181818182,0.020833333333333332,0.6434461805555556,0.6432291666666666
0,B1,seen,__all__,vertical_mid,144,1,2,47,94,0.020833333333333332,0.3333333333333333,0.0392156862745098,0.020833333333333332,0.6213107638888888,0.6213107638888888
0,B2,seen,__all__,vertical_mid,144,0,0,48,96,0.0,,0.0,0.0,0.6477864583333334,0.6477864583333334
0,B3,seen,__all__,vertical_mid,144,0,0,48,96,0.0,,0.0,0.0,0.6477864583333334,0.625
0,P1,seen,__all__,vertical_mid,144,0,0,48,96,0.0,,0.0,0.0,0.6477864583333334,0.6577690972222222
0,B1,seen,harsh,__all__,216,4,6,68,138,0.05555555555555555,0.4,0.0975609756097561,0.041666666666666664,0.681616512345679,0.681616512345679
0,B2,seen,harsh,__all__,216,10,4,62,140,0.1388888888888889,0.7142857142857143,0.23255813953488372,0.027777777777777776,0.7341820987654321,0.7341820987654321
0,B3,seen,harsh,__all__,216,8,2,64,142,0.1111111111111111,0.8,0.1951219512195122,0.013888888888888888,0.7341820987654321,0.7341820987654321
0,P1,seen,harsh,__all__,216,9,2,63,142,0.125,0.8181818181818182,0.21686746987951808,0.013888888888888888,0.7341820987654321,0.7296489197530864
0,B1,seen,harsh,central_furniture,72,1,2,23,46,0.041666666666666664,0.3333333333333333,0.07407407407407407,0.041666666666666664,0.6710069444444444,0.6710069444444444
0,B2,seen,harsh,central_furniture,72,5,2,19,46,0.20833333333333334,0.7142857142857143,0.3225806451612903,0.041666666666666664,0.7395833333333334,0.7395833333333334
0,B3,seen,harsh,central_furniture,72,4,1,20,47,0.16666666666666666,0.8,0.27586206896551724,0.020833333333333332,0.7395833333333334,0.7395833333333334
0,P1,seen,harsh,central_furniture,72,4,1,20,47,0.16666666666666666,0.8,0.27586206896551724,0.020833333333333332,0.7395833333333334,0.7317708333333334
0,B1,seen,harsh,clear,72,2,2,22,46,0.08333333333333333,0.5,0.14285714285714285,0.041666666666666664,0.6909722222222222,0.6909722222222222
0,B2,seen,harsh,clear,72,5,2,19,46,0.20833333333333334,0.7142857142857143,0.3225806451612903,0.041666666666666664,0.7369791666666666,0.7369791666666666
0,B3,seen,harsh,clear,72,4,1,20,47,0.16666666666666666,0.8,0.27586206896551724,0.020833333333333332,0.7369791666666666,0.7369791666666666
0,P1,seen,harsh,clear,72,5,1,19,47,0.20833333333333334,0.8333333333333334,0.3333333333333333,0.020833333333333332,0.7369791666666666,0.734375
0,B1,seen,harsh,vertical_mid,72,1,2,23,46,0.041666666666666664,0.3333333333333333,0.07407407407407407,0.041666666666666664,0.7178819444444444,0.7178819444444444
0,B2,seen,harsh,vertical_mid,72,0,0,24,48,0.0,,0.0,0.0,0.7586805555555556,0.7586805555555556
0,B3,seen,harsh,vertical_mid,72,0,0,24,48,0.0,,0.0,0.0,0.7586805555555556,0.7586805555555556
0,P1,seen,harsh,vertical_mid,72,0,0,24,48,0.0,,0.0,0.0,0.7586805555555556,0.7543402777777778
