seed,method,scope,facility,geometry,recall,precision,f1,auroc,margin_auroc,false_positive_rate
0,B3,seen,standard,central_furniture,0.16666666666666666,0.4444444444444444,0.24242424242424243,0.22916666666666663,0.22916666666666663,0.08333333333333334
0,P1,seen,standard,central_furniture,0.20833333333333334,,0.29411764705882354,0.22916666666666663,0.20399305555555547,0.10416666666666667
0,B1,seen,standard,clear,0.3333333333333333,,0.47058823529411764,0.3081597222222222,0.3081597222222222,0.041666666666666664
0,B2,seen,standard,clear,0.125,,0.2222222222222222,0.2543402777777778,0.2543402777777778,0.0
0,B3,seen,standard,clear,0.2916666666666667,0.875,0.4375,0.2543402777777778,0.2543402777777778,0.0
0,P1,seen,standard,clear,0.2916666666666667,0.7,0.4117647058823529,0.2543402777777778,0.2543402777777778,0.04166666666666667
0,B1,seen,standard,vertical_mid,0.16666666666666666,,0.25806451612903225,0.2508680555555556,0.2508680555555556,0.0625
0,B2,seen,standard,vertical_mid,0.125,,0.2222222222222222,0.1909722222222222,0.1909722222222222,0.0
0,B3,seen,standard,vertical_mid,0.25,,0.375,0.1909722222222222,0.1909722222222222,0.041666666666666664
0,P1,seen,standard,vertical_mid,0.25,,0.375,0.1909722222222222,0.16319444444444453,0.041666666666666664
0,B1,unseen,__all__,__all__,0.32083333333333336,0.4116161616161616,0.4440932715268998,0.26460069444444445,0.26460069444444445,0.020833333333333332
0,B2,unseen,__all__,__all__,0.22500000000000003,0.2647058823529411,0.33518621456364645,0.21749131944444444,0.21749131944444444,-0.0062499999999999995
0,B3,unseen,__all__,__all__,0.20416666666666666,0.12459371614301196,0.3018441086384607,0.21749131944444444,0.2313194444444444,0.018750000000000003
0,P1,unseen,__all__,__all__,0.21666666666666665,0.1927592954990215,0.3189102160951926,0.21749131944444444,0.20625000000000004,0.014583333333333335
0,B1,unseen,__all__,horizontal_new,0.375,,0.5070422535211268,0.24869791666666663,0.24869791666666663,0.052083333333333336
0,B2,unseen,__all__,horizontal_new,0.2916666666666667,,0.45161290322580644,0.20616319444444442,0.20616319444444442,0.0
0,B3,unseen,__all__,horizontal_new,0.25,,0.375,0.20616319444444442,0.23046875,0.041666666666666664
0,P1,unseen,__all__,horizontal_new,0.22916666666666666,,0.3548387096774194,0.20616319444444442,0.18619791666666663,0.03125
0,B1,unseen,__all__,low_new,0.4166666666666667,0.33999999999999997,0.5353424657534246,0.2801649305555556,0.2801649305555556,0.03125
0,B2,unseen,__all__,low_new,0.25,0.3375,0.3555424528301887,0.23155381944444453,0.23155381944444453,-0.010416666666666666
0,B3,unseen,__all__,low_new,0.25,0.11111111111111116,0.34581105169340465,0.23155381944444453,0.23546006944444442,0.03125
0,P1,unseen,__all__,low_new,0.3125,0.30952380952380953,0.4158305462653289,0.23155381944444453,0.21766493055555547,0.020833333333333332
0,B1,unseen,__all__,two_new,0.2916666666666667,0.6323529411764706,0.42307692307692313,0.267578125,0.267578125,-0.010416666666666668
0,B2,unseen,__all__,two_new,0.14583333333333331,0.19999999999999996,0.2219379597057883,0.22178819444444442,0.22178819444444442,-0.010416666666666666
0,B3,unseen,__all__,two_new,0.1875,0.17307692307692313,0.27805800756620425,0.22178819444444442,0.23328993055555558,0.0
0,P1,unseen,__all__,two_new,0.1875,0.17307692307692313,0.27805800756620425,0.22178819444444442,0.20703125,0.0
0,B1,unseen,__all__,vertical_new,0.2916666666666667,0.2894736842105263,0.4077611940298508,0.2358940972222222,0.2358940972222222,0.03125
0,B2,unseen,__all__,vertical_new,0.1875,,0.3157894736842105,0.19444444444444442,0.19444444444444442,0.0
0,B3,unseen,__all__,vertical_new,0.16666666666666666,,0.27586206896551724,0.19444444444444442,0.22938368055555558,0.020833333333333332
0,P1,unseen,__all__,vertical_new,0.1875,,0.3103448275862069,0.19444444444444442,0.20008680555555558,0.010416666666666666
0,B1,unseen,__all__,wide_new,0.22916666666666666,0.3666666666666667,0.33577533577533575,0.2921006944444444,0.2921006944444444,0.0
0,B2,unseen,__all__,wide_new,0.25,0.23015873015873012,0.3333333333333333,0.22395833333333337,0.22395833333333337,-0.010416666666666666
0,B3,unseen,__all__,wide_new,0.16666666666666669,0.19047619047619047,0.23894862604540024,0.22395833333333337,0.23133680555555558,0.0
0,P1,unseen,__all__,wide_new,0.16666666666666669,0.13333333333333341,0.2328042328042328,0.22395833333333337,0.21028645833333337,0.010416666666666668
0,B1,unseen,harsh,__all__,0.48333333333333334,0.5098039215686274,0.594455190199871,0.2929166666666666,0.2929166666666666,-0.008333333333333335
0,B2,unseen,harsh,__all__,0.3416666666666667,0.275599128540305,0.4340129205470258,0.24791666666666667,0.24791666666666667,-0.016666666666666666
0,B3,unseen,harsh,__all__,0.23333333333333334,0.25,0.33497394325419805,0.24791666666666667,0.24791666666666667,-0.0125
0,P1,unseen,harsh,__all__,0.25,0.3321428571428571,0.35317164179104477,0.24791666666666667,0.24934027777777779,-0.016666666666666666
0,B1,unseen,harsh,horizontal_new,0.5,,0.6486486486486487,0.28819444444444453,0.28819444444444453,0.020833333333333332
0,B2,unseen,harsh,horizontal_new,0.4166666666666667,,0.5882352941176471,0.25173611111111116,0.25173611111111116,0.0
0,B3,unseen,harsh,horizontal_new,0.25,,0.4,0.25173611111111116,0.25173611111111116,0.0
0,P1,unseen,harsh,horizontal_new,0.25,,0.4,0.25173611111111116,0.25173611111111116,0.0
0,B1,unseen,harsh,low_new,0.6666666666666667,0.4444444444444444,0.7326007326007327,0.29427083333333326,0.29427083333333326,0.0
0,B2,unseen,harsh,low_new,0.41666666666666663,0.4,0.49580615097856484,0.23958333333333326,0.23958333333333326,-0.041666666666666664
0,B3,unseen,harsh,low_new,0.33333333333333337,0.33333333333333337,0.44008714596949894,0.23958333333333326,0.23958333333333326,-0.020833333333333332
0,P1,unseen,harsh,low_new,0.4166666666666667,0.5,0.5238095238095237,0.23958333333333326,0.23958333333333326,-0.041666666666666664
0,B1,unseen,harsh,two_new,0.41666666666666663,0.6666666666666666,0.5396825396825398,0.2960069444444444,0.2960069444444444,-0.04166666666666667
0,B2,unseen,harsh,two_new,0.25,0.19999999999999996,0.31237322515212984,0.24305555555555558,0.24305555555555558,-0.020833333333333332
0,B3,unseen,harsh,two_new,0.20833333333333331,0.25,0.2857142857142857,0.24305555555555558,0.24305555555555558,-0.020833333333333332
0,P1,unseen,harsh,two_new,0.20833333333333331,0.25,0.2857142857142857,0.24305555555555558,0.24305555555555558,-0.020833333333333332
0,B1,unseen,harsh,vertical_new,0.4583333333333333,0.42307692307692313,0.5717255717255718,0.25260416666666663,0.25260416666666663,0.0
0,B2,unseen,harsh,vertical_new,0.25,,0.4,0.20920138888888884,0.20920138888888884,0.0
0,B3,unseen,harsh,vertical_new,0.16666666666666666,,0.2857142857142857,0.20920138888888884,0.20920138888888884,0.0
0,P1,unseen,harsh,vertical_new,0.16666666666666666,,0.2857142857142857,0.20920138888888884,0.22395833333333326,0.0
0,B1,unseen,harsh,wide_new,0.375,0.41666666666666663,0.4682539682539683,0.2960069444444444,0.2960069444444444,-0.020833333333333332
0,B2,unseen,harsh,wide_new,0.375,0.21904761904761905,0.39536807278742764,0.2387152777777778,0.2387152777777778,-0.020833333333333332
0,B3,unseen,harsh,wide_new,0.20833333333333334,0.19999999999999996,0.2695924764890282,0.2387152777777778,0.2387152777777778,-0.020833333333333332
0,P1,unseen,harsh,wide_new,0.20833333333333334,0.2333333333333334,0.2627450980392157,0.2387152777777778,0.23177083333333337,-0.020833333333333332
0,B1,unseen,standard,__all__,0.15833333333333333,,0.25165562913907286,0.22100694444444446,0.22100694444444446,0.05
0,B2,unseen,standard,__all__,0.10833333333333334,,0.19402985074626866,0.16069444444444447,0.16069444444444447,0.004166666666666667
