seed,budget,method,calibration_group,fallback,n,tp,fp,fn,tn,recall,precision,f1,false_positive_rate,auroc,margin_auroc
1,0.025,P1,1,False,268,8,4,82,174,0.08888888888888889,0.6666666666666666,0.1568627450980392,0.02247191011235955,0.6343320848938826,0.6343320848938826
2,0.025,B1,all,False,432,15,7,129,281,0.10416666666666667,0.6818181818181818,0.18072289156626506,0.024305555555555556,0.7109375,0.7109375
2,0.025,B2,all,False,432,4,7,140,281,0.027777777777777776,0.36363636363636365,0.05161290322580645,0.024305555555555556,0.4934895833333333,0.4934895833333333
2,0.025,B3,harsh,False,216,3,3,69,141,0.041666666666666664,0.5,0.07692307692307693,0.020833333333333332,0.5161072530864198,0.5161072530864198
2,0.025,B3,standard,False,216,1,3,71,141,0.013888888888888888,0.25,0.02631578947368421,0.020833333333333332,0.44733796296296297,0.44733796296296297
2,0.025,P1,0,False,164,0,2,54,108,0.0,0.0,0.0,0.01818181818181818,0.4063973063973064,0.4063973063973064
2,0.025,P1,1,False,268,3,4,87,174,0.03333333333333333,0.42857142857142855,0.061855670103092786,0.02247191011235955,0.5290886392009988,0.5290886392009988
3,0.025,B1,all,False,432,21,7,123,281,0.14583333333333334,0.75,0.2441860465116279,0.024305555555555556,0.8269917052469136,0.8269917052469136
3,0.025,B2,all,False,432,12,7,132,281,0.08333333333333333,0.631578947368421,0.147239263803681,0.024305555555555556,0.5717351466049383,0.5717351466049383
3,0.025,B3,harsh,False,216,8,3,64,141,0.1111111111111111,0.7272727272727273,0.1927710843373494,0.020833333333333332,0.6630015432098766,0.6630015432098766
3,0.025,B3,standard,False,216,3,3,69,141,0.041666666666666664,0.5,0.07692307692307693,0.020833333333333332,0.46238425925925924,0.46238425925925924
3,0.025,P1,0,False,164,2,2,52,108,0.037037037037037035,0.5,0.06896551724137931,0.01818181818181818,0.431986531986532,0.431986531986532
3,0.025,P1,1,False,268,11,4,79,174,0.12222222222222222,0.7333333333333333,0.20952380952380953,0.02247191011235955,0.6466916354556804,0.6466916354556804
4,0.025,B1,all,False,432,6,7,138,281,0.041666666666666664,0.46153846153846156,0.07643312101910828,0.024305555555555556,0.47393422067901236,0.47393422067901236
4,0.025,B2,all,False,432,6,7,138,281,0.041666666666666664,0.46153846153846156,0.07643312101910828,0.024305555555555556,0.47183641975308643,0.47183641975308643
4,0.025,B3,harsh,False,216,3,3,69,141,0.041666666666666664,0.5,0.07692307692307693,0.020833333333333332,0.5393518518518519,0.5393518518518519
4,0.025,B3,standard,False,216,0,3,72,141,0.0,0.0,0.0,0.020833333333333332,0.3908179012345679,0.3908179012345679
4,0.025,P1,0,False,164,0,2,54,108,0.0,0.0,0.0,0.01818181818181818,0.34915824915824917,0.34915824915824917
4,0.025,P1,1,False,268,6,4,84,174,0.06666666666666667,0.6,0.12,0.02247191011235955,0.5320848938826467,0.5320848938826467
0,0.05,B1,all,False,432,11,14,133,274,0.0763888888888889,0.44,0.1301775147928994,0.04861111111111111,0.48811246141975306,0.48811246141975306
0,0.05,B2,all,False,432,8,14,136,274,0.05555555555555555,0.36363636363636365,0.0963855421686747,0.04861111111111111,0.5007716049382716,0.5007716049382716
0,0.05,B3,harsh,False,216,3,7,69,137,0.041666666666666664,0.3,0.07317073170731707,0.04861111111111111,0.5384837962962963,0.5384837962962963
0,0.05,B3,standard,False,216,2,7,70,137,0.027777777777777776,0.2222222222222222,0.04938271604938271,0.04861111111111111,0.4554398148148148,0.4554398148148148
0,0.05,P1,0,False,164,2,5,52,105,0.037037037037037035,0.2857142857142857,0.06557377049180328,0.045454545454545456,0.419023569023569,0.419023569023569
0,0.05,P1,1,False,268,4,8,86,170,0.044444444444444446,0.3333333333333333,0.0784313725490196,0.0449438202247191,0.5390761548064918,0.5390761548064918
1,0.05,B1,all,False,432,13,14,131,274,0.09027777777777778,0.48148148148148145,0.15204678362573099,0.04861111111111111,0.568407600308642,0.568407600308642
1,0.05,B2,all,False,432,11,14,133,274,0.0763888888888889,0.44,0.1301775147928994,0.04861111111111111,0.5979456018518519,0.5979456018518519
1,0.05,B3,harsh,False,216,10,7,62,137,0.1388888888888889,0.5882352941176471,0.2247191011235955,0.04861111111111111,0.6490162037037037,0.6490162037037037
1,0.05,B3,standard,False,216,2,7,70,137,0.027777777777777776,0.2222222222222222,0.04938271604938271,0.04861111111111111,0.5530478395061729,0.5530478395061729
1,0.05,P1,0,False,164,0,5,54,105,0.0,0.0,0.0,0.045454545454545456,0.557070707070707,0.557070707070707
1,0.05,P1,1,False,268,11,8,79,170,0.12222222222222222,0.5789473684210527,0.2018348623853211,0.0449438202247191,0.6343320848938826,0.6343320848938826
2,0.05,B1,all,False,432,24,14,120,274,0.16666666666666666,0.631578947368421,0.26373626373626374,0.04861111111111111,0.7109375,0.7109375
2,0.05,B2,all,False,432,8,14,136,274,0.05555555555555555,0.36363636363636365,0.0963855421686747,0.04861111111111111,0.4934895833333333,0.4934895833333333
2,0.05,B3,harsh,False,216,4,7,68,137,0.05555555555555555,0.36363636363636365,0.0963855421686747,0.04861111111111111,0.5161072530864198,0.5161072530864198
2,0.05,B3,standard,False,216,3,7,69,137,0.041666666666666664,0.3,0.07317073170731707,0.04861111111111111,0.44733796296296297,0.44733796296296297
2,0.05,P1,0,False,164,1,5,53,105,0.018518518518518517,0.16666666666666666,0.03333333333333333,0.045454545454545456,0.4063973063973064,0.4063973063973064
2,0.05,P1,1,False,268,4,8,86,170,0.044444444444444446,0.3333333333333333,0.0784313725490196,0.0449438202247191,0.5290886392009988,0.5290886392009988
3,0.05,B1,all,False,432,38,14,106,274,0.2638888888888889,0.7307692307692307,0.3877551020408163,0.04861111111111111,0.8269917052469136,0.8269917052469136
3,0.05,B2,all,False,432,17,14,127,274,0.11805555555555555,0.5483870967741935,0.19428571428571428,0.04861111111111111,0.5717351466049383,0.5717351466049383
3,0.05,B3,harsh,False,216,12,7,60,137,0.16666666666666666,0.631578947368421,0.26373626373626374,0.04861111111111111,0.6630015432098766,0.6630015432098766
3,0.05,B3,standard,False,216,6,7,66,137,0.08333333333333333,0.46153846153846156,0.1411764705882353,0.04861111111111111,0.46238425925925924,0.46238425925925924
3,0.05,P1,0,False,164,3,5,51,105,0.05555555555555555,0.375,0.0967741935483871,0.045454545454545456,0.431986531986532,0.431986531986532
3,0.05,P1,1,False,268,13,8,77,170,0.14444444444444443,0.6190476190476191,0.23423423423423423,0.0449438202247191,0.6466916354556804,0.6466916354556804
4,0.05,B1,all,False,432,11,14,133,274,0.0763888888888889,0.44,0.1301775147928994,0.04861111111111111,0.47393422067901236,0.47393422067901236
4,0.05,B2,all,False,432,14,14,130,274,0.09722222222222222,0.5,0.16279069767441862,0.04861111111111111,0.47183641975308643,0.47183641975308643
4,0.05,B3,harsh,False,216,12,7,60,137,0.16666666666666666,0.631578947368421,0.26373626373626374,0.04861111111111111,0.5393518518518519,0.5393518518518519
4,0.05,B3,standard,False,216,4,7,68,137,0.05555555555555555,0.36363636363636365,0.0963855421686747,0.04861111111111111,0.3908179012345679,0.3908179012345679
4,0.05,P1,0,False,164,1,5,53,105,0.018518518518518517,0.16666666666666666,0.03333333333333333,0.045454545454545456,0.34915824915824917,0.34915824915824917
4,0.05,P1,1,False,268,12,8,78,170,0.13333333333333333,0.6,0.21818181818181817,0.0449438202247191,0.5320848938826467,0.5320848938826467
0,0.1,B1,all,False,432,19,28,125,260,0.13194444444444445,0.40425531914893614,0.19895287958115182,0.09722222222222222,0.48811246141975306,0.48811246141975306
0,0.1,B2,all,False,432,13,28,131,260,0.09027777777777778,0.3170731707317073,0.14054054054054055,0.09722222222222222,0.5007716049382716,0.5007716049382716
0,0.1,B3,harsh,False,216,8,14,64,130,0.1111111111111111,0.36363636363636365,0.1702127659574468,0.09722222222222222,0.5384837962962963,0.5384837962962963
0,0.1,B3,standard,False,216,5,14,67,130,0.06944444444444445,0.2631578947368421,0.10989010989010989,0.09722222222222222,0.4554398148148148,0.4554398148148148
0,0.1,P1,0,False,164,4,11,50,99,0.07407407407407407,0.26666666666666666,0.11594202898550725,0.1,0.419023569023569,0.419023569023569
