budget,method,scope,facility,geometry,n_seeds,recall_n_defined,recall_mean,recall_std,precision_n_defined,precision_mean,precision_std,f1_n_defined,f1_mean,f1_std,auroc_n_defined,auroc_mean,auroc_std,margin_auroc_n_defined,margin_auroc_mean,margin_auroc_std,false_positive_rate_n_defined,false_positive_rate_mean,false_positive_rate_std
0.01,B1,unseen,harsh,vertical_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.7149305555555555,0.11612266989997717,5,0.7149305555555555,0.11612266989997717,5,0.0,0.0
0.01,B1,unseen,harsh,wide_new,5,5,0.041666666666666664,0.041666666666666664,3,,,5,0.07753846153846154,0.07693538363092674,5,0.6505208333333334,0.11552250837879875,5,0.6505208333333334,0.11552250837879875,5,0.0,0.0
0.01,B1,unseen,standard,__all__,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.6205208333333333,0.12210467980722775,5,0.6205208333333333,0.12210467980722775,5,0.0,0.0
0.01,B1,unseen,standard,horizontal_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.6527777777777778,0.13162424597933936,5,0.6527777777777778,0.13162424597933936,5,0.0,0.0
0.01,B1,unseen,standard,low_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.6527777777777778,0.13724888949577727,5,0.6527777777777778,0.13724888949577727,5,0.0,0.0
0.01,B1,unseen,standard,two_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.6333333333333333,0.13415404736705272,5,0.6333333333333333,0.13415404736705272,5,0.0,0.0
0.01,B1,unseen,standard,vertical_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.6163194444444444,0.09709037438701694,5,0.6163194444444444,0.09709037438701694,5,0.0,0.0
0.01,B1,unseen,standard,wide_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.5819444444444445,0.10510392864653882,5,0.5819444444444445,0.10510392864653882,5,0.0,0.0
0.01,B2,all,__all__,__all__,5,5,0.034374999999999996,0.005645698799135103,5,0.8140800719748089,0.1137614378835005,5,0.06588580184749819,0.010461592053256282,5,0.5878421359592014,0.06284760740462442,5,0.5878421359592014,0.06284760740462442,5,0.0041666666666666675,0.0026684767619686457
0.01,B2,seen,__all__,__all__,5,5,0.05416666666666666,0.010300275676521756,5,0.8003108003108004,0.11403793462610615,5,0.10106868318178583,0.01758854415611331,5,0.5989631558641976,0.07185078481948656,5,0.5989631558641976,0.07185078481948656,5,0.007638888888888888,0.004527223892501839
0.01,B2,seen,__all__,central_furniture,5,5,0.049999999999999996,0.011410886614690962,5,0.8833333333333332,0.16244657241348273,5,0.09429260935143288,0.02031279907900484,5,0.5996961805555555,0.07260608224821333,5,0.5996961805555555,0.07260608224821333,5,0.004166666666666667,0.00570544330734548
0.01,B2,seen,__all__,clear,5,5,0.10833333333333332,0.04007371679514863,5,0.8054545454545456,0.12652014143670712,5,0.18709767934051386,0.058638722915636744,5,0.6095486111111111,0.08334878848834244,5,0.6095486111111111,0.08334878848834244,5,0.016666666666666666,0.013975424859373685
0.01,B2,seen,__all__,vertical_mid,5,5,0.004166666666666667,0.009316949906249124,1,,,5,0.008,0.01788854381999832,5,0.6259114583333333,0.055169651387412484,5,0.6259114583333333,0.055169651387412484,5,0.0020833333333333333,0.004658474953124562
0.01,B2,seen,harsh,__all__,5,5,0.10833333333333332,0.020600551353043513,5,0.8548562548562548,0.1338691389349121,5,0.1909501724006803,0.030644351045434236,5,0.6441743827160493,0.09170479346877043,5,0.6441743827160493,0.09170479346877043,5,0.01111111111111111,0.010531771450071597
0.01,B2,seen,harsh,central_furniture,5,5,0.09999999999999999,0.022821773229381923,5,0.95,0.11180339887498948,5,0.1796092796092796,0.0353890306001128,5,0.656423611111111,0.09018048643729061,5,0.656423611111111,0.09018048643729061,5,0.004166666666666667,0.009316949906249124
0.01,B2,seen,harsh,clear,5,5,0.21666666666666665,0.08014743359029726,5,0.8387878787878789,0.1545513962018857,5,0.33273821963477135,0.08947910946055906,5,0.6739583333333334,0.09990297484900316,5,0.6739583333333334,0.09990297484900316,5,0.029166666666666664,0.031595314350214794
0.01,B2,seen,harsh,vertical_mid,5,5,0.008333333333333333,0.018633899812498248,1,,,5,0.016,0.03577708763999664,5,0.6796875,0.057021405902482586,5,0.6796875,0.057021405902482586,5,0.0,0.0
0.01,B2,seen,standard,__all__,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.5566358024691358,0.0617957757608842,5,0.5566358024691358,0.0617957757608842,5,0.004166666666666667,0.009316949906249124
0.01,B2,seen,standard,central_furniture,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.5545138888888889,0.05277463669380946,5,0.5545138888888889,0.05277463669380946,5,0.004166666666666667,0.009316949906249124
0.01,B2,seen,standard,clear,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.5614583333333333,0.058241935052414685,5,0.5614583333333333,0.058241935052414685,5,0.004166666666666667,0.009316949906249124
0.01,B2,seen,standard,vertical_mid,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.5682291666666666,0.08451090378070622,5,0.5682291666666666,0.08451090378070622,5,0.004166666666666667,0.009316949906249124
0.01,B2,unseen,__all__,__all__,5,5,0.0225,0.008640183897219884,5,0.8828571428571429,0.16048396194266992,5,0.04369508106550936,0.016539226186950008,5,0.5821805555555556,0.057575333295492935,5,0.5821805555555556,0.057575333295492935,5,0.0020833333333333337,0.002946278254943948
0.01,B2,unseen,__all__,horizontal_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.5832899305555556,0.054849246173238955,5,0.5832899305555556,0.054849246173238955,5,0.0,0.0
0.01,B2,unseen,__all__,low_new,5,5,0.04583333333333333,0.027163343355011037,5,0.95,0.11180339887498948,5,0.08617268445839875,0.048952874812883566,5,0.6006510416666668,0.07355000580810055,5,0.6006510416666668,0.07355000580810055,5,0.0020833333333333333,0.004658474953124562
0.01,B2,unseen,__all__,two_new,5,5,0.029166666666666667,0.018633899812498245,4,,,5,0.05584953981592637,0.03543161449582471,5,0.5809461805555556,0.05507900570338252,5,0.5809461805555556,0.05507900570338252,5,0.0020833333333333333,0.004658474953124562
0.01,B2,unseen,__all__,vertical_new,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.6202690972222222,0.04860587924474473,5,0.6202690972222222,0.04860587924474473,5,0.0020833333333333333,0.004658474953124562
0.01,B2,unseen,__all__,wide_new,5,5,0.0375,0.01743041721945991,5,0.8666666666666666,0.18257418583505539,5,0.07122849139655862,0.032047800000281595,5,0.5714409722222223,0.05720063758171348,5,0.5714409722222223,0.05720063758171348,5,0.004166666666666667,0.00570544330734548
0.01,B2,unseen,harsh,__all__,5,5,0.045,0.01728036779443977,5,0.9400000000000001,0.1341640786499874,5,0.0851907017297491,0.03165301629709371,5,0.6141666666666666,0.07458925753680605,5,0.6141666666666666,0.07458925753680605,5,0.0025,0.005590169943749474
0.01,B2,unseen,harsh,horizontal_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.609548611111111,0.06656180718210122,5,0.609548611111111,0.06656180718210122,5,0.0,0.0
0.01,B2,unseen,harsh,low_new,5,5,0.09166666666666666,0.054326686710022075,5,0.95,0.11180339887498948,5,0.16276923076923075,0.0888123682763023,5,0.6421875000000001,0.08372439708499174,5,0.6421875000000001,0.08372439708499174,5,0.004166666666666667,0.009316949906249124
0.01,B2,unseen,harsh,two_new,5,5,0.058333333333333334,0.03726779962499649,4,,,5,0.10716809116809116,0.0675650669413807,5,0.6220486111111111,0.07095683847460882,5,0.6220486111111111,0.07095683847460882,5,0.004166666666666667,0.009316949906249124
0.01,B2,unseen,harsh,vertical_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.6753472222222222,0.05141351699639184,5,0.6753472222222222,0.05141351699639184,5,0.0,0.0
0.01,B2,unseen,harsh,wide_new,5,5,0.075,0.03486083443891982,5,0.9333333333333332,0.149071198499986,5,0.1368433048433048,0.05951633914349594,5,0.6222222222222221,0.07251096211426318,5,0.6222222222222221,0.07251096211426318,5,0.004166666666666667,0.009316949906249124
0.01,B2,unseen,standard,__all__,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.5536805555555555,0.05471059917806457,5,0.5536805555555555,0.05471059917806457,5,0.0016666666666666666,0.003726779962499649
0.01,B2,unseen,standard,horizontal_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.5614583333333334,0.06859671376017941,5,0.5614583333333334,0.06859671376017941,5,0.0,0.0
0.01,B2,unseen,standard,low_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.5727430555555555,0.05678768756779801,5,0.5727430555555555,0.05678768756779801,5,0.0,0.0
