budget,seed,scope,facility,geometry,method,recall,precision,f1,auroc,margin_auroc,false_positive_rate
0.01,0,unseen,harsh,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,-0.01909722222222221,0.0
0.01,0,unseen,harsh,low_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0,unseen,harsh,two_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0,unseen,harsh,vertical_new,P1_minus_B3,0.0,,0.0,0.0,0.0,0.0
0.01,0,unseen,harsh,wide_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0,unseen,standard,__all__,P1_minus_B3,0.0,,0.0,0.0,-0.006354166666666661,-0.008333333333333333
0.01,0,unseen,standard,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,0.0703125,0.0
0.01,0,unseen,standard,low_new,P1_minus_B3,0.0,,0.0,0.0,0.015625,-0.020833333333333332
0.01,0,unseen,standard,two_new,P1_minus_B3,0.0,,0.0,0.0,0.0017361111111110494,0.0
0.01,0,unseen,standard,vertical_new,P1_minus_B3,0.0,,0.0,0.0,-0.07638888888888884,0.0
0.01,0,unseen,standard,wide_new,P1_minus_B3,0.0,,0.0,0.0,-0.02864583333333337,-0.020833333333333332
0.01,1,all,__all__,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,0.00521172417534721,0.0
0.01,1,seen,__all__,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,0.0023148148148147696,0.0
0.01,1,seen,__all__,central_furniture,P1_minus_B3,0.0,0.0,0.0,0.0,-0.0021701388888888395,0.0
0.01,1,seen,__all__,clear,P1_minus_B3,0.0,0.0,0.0,0.0,0.00021701388888883955,0.0
0.01,1,seen,__all__,vertical_mid,P1_minus_B3,0.0,0.0,0.0,0.0,0.01475694444444453,0.0
0.01,1,seen,harsh,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,-0.0018325617283950768,0.0
0.01,1,seen,harsh,central_furniture,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1,seen,harsh,clear,P1_minus_B3,0.0,0.0,0.0,0.0,-0.0008680555555555802,0.0
0.01,1,seen,harsh,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,-0.00347222222222221,0.0
0.01,1,seen,standard,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,0.0057870370370369795,0.0
0.01,1,seen,standard,central_furniture,P1_minus_B3,0.0,0.0,0.0,0.0,-0.0078125,0.0
0.01,1,seen,standard,clear,P1_minus_B3,0.0,0.0,0.0,0.0,0.00347222222222221,0.0
0.01,1,seen,standard,vertical_mid,P1_minus_B3,0.0,0.0,0.0,0.0,0.02864583333333337,0.0
0.01,1,unseen,__all__,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,0.007039930555555518,0.0
0.01,1,unseen,__all__,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,0.02777777777777779,0.0
0.01,1,unseen,__all__,low_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.00868055555555558,0.0
0.01,1,unseen,__all__,two_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0075954861111111605,0.0
0.01,1,unseen,__all__,vertical_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.01019965277777779,0.0
0.01,1,unseen,__all__,wide_new,P1_minus_B3,0.0,0.0,0.0,0.0,-0.004991319444444531,0.0
0.01,1,unseen,harsh,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,-0.000590277777777759,0.0
0.01,1,unseen,harsh,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,-0.003472222222222321,0.0
